Regional totals;Nationality;Age groups;Period;Total
National Total;Both nationalities;From 10 to 14 years old;2022;0.06
National Total;Both nationalities;From 10 to 14 years old;2021;0.05
National Total;Both nationalities;From 10 to 14 years old;2020;0.05
National Total;Both nationalities;From 10 to 14 years old;2019;0.07
National Total;Both nationalities;From 10 to 14 years old;2018;0.06
National Total;Both nationalities;From 15 to 19 years old;2022;4.61
National Total;Both nationalities;From 15 to 19 years old;2021;4.61
National Total;Both nationalities;From 15 to 19 years old;2020;5.36
National Total;Both nationalities;From 15 to 19 years old;2019;5.99
National Total;Both nationalities;From 15 to 19 years old;2018;6.26
National Total;Both nationalities;From 20 to 24 years;2022;20.45
National Total;Both nationalities;From 20 to 24 years;2021;20.40
National Total;Both nationalities;From 20 to 24 years;2020;22.76
National Total;Both nationalities;From 20 to 24 years;2019;24.08
National Total;Both nationalities;From 20 to 24 years;2018;24.24
National Total;Both nationalities;From 25 to 29 years  ;2022;44.72
National Total;Both nationalities;From 25 to 29 years  ;2021;45.67
National Total;Both nationalities;From 25 to 29 years  ;2020;47.69
National Total;Both nationalities;From 25 to 29 years  ;2019;49.75
National Total;Both nationalities;From 25 to 29 years  ;2018;51.69
National Total;Both nationalities;From 30 to 34 years old;2022;78.32
National Total;Both nationalities;From 30 to 34 years old;2021;81.97
National Total;Both nationalities;From 30 to 34 years old;2020;79.87
National Total;Both nationalities;From 30 to 34 years old;2019;83.61
National Total;Both nationalities;From 30 to 34 years old;2018;86.41
National Total;Both nationalities;From 35 to 39 years old;2022;63.42
National Total;Both nationalities;From 35 to 39 years old;2021;63.97
National Total;Both nationalities;From 35 to 39 years old;2020;61.75
National Total;Both nationalities;From 35 to 39 years old;2019;63.73
National Total;Both nationalities;From 35 to 39 years old;2018;64.23
National Total;Both nationalities;From 40 to 44 years  ;2022;17.27
National Total;Both nationalities;From 40 to 44 years  ;2021;17.10
National Total;Both nationalities;From 40 to 44 years  ;2020;16.30
National Total;Both nationalities;From 40 to 44 years  ;2019;16.64
National Total;Both nationalities;From 40 to 44 years  ;2018;16.93
National Total;Both nationalities;From 45 to 49 years old;2022;1.74
National Total;Both nationalities;From 45 to 49 years old;2021;1.57
National Total;Both nationalities;From 45 to 49 years old;2020;1.43
National Total;Both nationalities;From 45 to 49 years old;2019;1.49
National Total;Both nationalities;From 45 to 49 years old;2018;1.49
National Total;Both nationalities;50 years old and over;2022;0.67
National Total;Both nationalities;50 years old and over;2021;0.59
National Total;Both nationalities;50 years old and over;2020;0.47
National Total;Both nationalities;50 years old and over;2019;0.50
National Total;Both nationalities;50 years old and over;2018;0.50
